Type,RegionName,RegionId,Fias,OKATO
г,Волгодонск,152,1a453dcd-8885-4999-923b-1bbaa5a1cec4,60412000000
г,Ноябрьск,153,131c6e49-9bc5-484d-b65a-ee7f5d250418,71178000000
г,Лыткарино,156,bba16a72-09e1-4f3f-93af-df5ecab6714b,46441000000
г,Новороссийск,157,16ac039a-5257-4715-a8c5-d6bd9e617b53,3420000000
г,Нефтеюганск,160,45906532-143b-48c2-9af3-f480dc19c7bf,71134000000
г,Бийск,161,52f876f6-cb1d-4f23-a22f-b692609fc1e0,1405000000
г,Мичуринск,162,9bacca6d-4ed5-4fae-a76d-d281ce884d04,68415000000
г,Октябрьский,163,abd1bc35-ec51-437a-abee-76a4f620f662,80435000000
г,Орск,164,71e7cb45-f365-4e6b-b068-a7d35349c3ba,53423000000
г,Лобня,165,67c493d4-d141-407e-868b-dafc289503f3,46440000000
г,Дзержинск,167,1d5a97d5-9bdf-44c9-ac42-e201833e7f28,22421000000
г,Зеленоград,168,ec44c0ee-bf24-41c8-9e1c-76136ab05cbf,77000002000
г,Рузаевка,170,a35889dd-6958-4d3e-8a65-3f628b9179ed,89420000000
г,Березники,171,4ffcde97-05e9-4a6e-bd51-3a984b41b7bd,57408000000
г,Миасс,172,f2976e80-32e1-4284-8eda-06cf19239cd1,75442000000
г,Балашиха,174,27c5bc66-61bf-4a17-b0cd-ca0eb64192d6,46404000000
г,Кашира,175,45b3f9ac-43cd-4bd0-90af-74cf64ea67f7,46435000000
г,Елец,176,8261b161-ceac-4fa2-9fe8-593cb2a28210,42415000000
г,Губкин,177,98b1ec30-6107-4f99-ae3a-9d82492f30a1,14430000000
г,Ливны,178,aef2c735-2e21-42e5-8638-9667bade6a2b,54405000000
г,Находка,179,225a3506-35aa-4456-8bd7-244bdfbc4eaf,5414000000
г,Мытищи,181,5f290be7-14ff-4ccd-8bc8-2871a9ca9d5f,46446000000
г,Королев,182,819d6910-b4d1-474f-ad10-c1fa944dfca4,46434000000
г,Балаково,183,45eea4e7-2977-44bb-9b3d-ef8e9198e5d2,63407000000
г,Бузулук,184,653b316e-d0ca-414e-9211-03a96643e91b,53412000000
г,Кузнецк,185,b4751488-e03d-416c-9cde-af7465256bfa,56405000000
г,Братск,186,bdf6b629-b33e-4cfa-b4b2-7f693e1d821c,25414000000
г,Камышин,189,0f9fb687-8d03-41a2-968f-033a2ba44f2f,18415000000
г,Волжский,193,bc5ed788-84c8-493e-9598-7a15a9f1e4c1,18410000000
г,Балашов,194,574ddbe6-5e16-4e5b-9cf5-5f3be3a8a6c9,63410000000
г,Муром,195,0d7d5d87-f0a6-428f-b655-d3be106c64a2,17435000000
г,Клинцы,196,59cb1f1f-16f9-47eb-9487-14a6c00e8621,15415000000
г,Коломна,197,b367fb03-29f9-4dac-8d85-01595cfb6ad9,46438000000
г,Кинешма,198,df284e77-a45c-411d-8901-94c91f4a92e5,24405000000
г,Нерюнгри,199,6ece5c38-f802-4f32-ad33-0409538c3562,98406000000
г,Ковров,200,0b4978e2-e64c-4db1-b84d-93cf34bdb04b,17425000000
г,Армавир,201,fc9c55d0-c66e-455e-8034-b0944b025c38,3405000000
г,Ачинск,202,c3689d32-dea5-49c8-b69b-b8d2daa1d36b,4403000000
г,Обнинск,204,05a647ff-b859-4c93-8c8e-3590110a0085,29415000000
г,Златоуст,205,110c731e-d72b-4c37-91cb-03ce33d9e727,75412000000
